GENERAL INFORMATION;;;;;;;;;;;;;;;;;GROWTH SEGMENT;;;;;;;SCREEN INFORMATION;;;;;;;;;;;;;;;;;;;;;;;;CABINET INFORMATION;;;;;;;;;;STAND INFORMATION;;;;;CONNECTIVITY INFORMATION;;;;;;;;;;;;;;;CONNECTIVITY INFORMATION (B2B only);;;;;;;;;;;;;;;;;;;;;;;ENERGY & ENVIRONMENTAL INFORMATION;;;;;;;;;;;;;;;;;WHAT IS INCLUDED IN THE BOX;;;;;;;;;ADITIONAL GAMING INFORMATION;;;;;;;;OTHER INFORMATION;WAREHOUSE PRODUCT STATUS;;;;;;;;;;;;;;;;;;;
NEW SKU ADDED;Model name;LIST PRICE CODE;Brand;Channel;Warehouse SKU;FOB;FOB UK only;Design Family;Product Line;Warehouse EAN;Warranty Period;MOQ (Default pallet);MOQ (EURO pallet);Warehouse NPI/EOL Month;Warehouse Product Status;FOB Status (/Running1);Summary GUSH+;"34""↑";HighRes (QHD+);Gaming (144Hz+);Gaming+ (240Hz+ or QHD+);SMART;OLED;Touch;Curvature;Diagonal (inch);Diagonal (cm);Aspect ratio;Panel;Backlight;Resolution (native);Max Refresh Rate;Response time GtG;Response time MPRT;Brightness (max);Contrast (static);Contrast (dynamic);Viewing angle (CR10);HDR version VESA;Sync Technology;AMD FreeSync Certified;NVIDIA G-Sync Certified;ColorGamut (NTSC/sRGB/AdobeRGB/DCI-P3);FlickerFree;Blue Light Filter;Multiview;Colours;BezelType (Front);Bezel colour (Front);Bezel finishing (Front);Cabinet colour (backside);Cabinet finishing (backside);Speakers;Speaker Power;VESA Wallmount;Webcam;Powersensor/Lightsensor;Tilt;Height Adjust (mm);Pivot;Swivel;VESA Bracket;D-SUB;DVI;HDMI;MHL;DisplayPort;DisplayPort Out (DaisyChain);USB hub;USB type;USB-C;USB-C Power Delivery;Built-in KVM;RJ45;USB out ports;USB fast charge port;Headphone out/Audio In;D-SUB2;DVI3;HDMI4;Display Port;DisplayPort Out (Daisy Chain);Daisy Chain Primary Model;Daisy Chain Secondary Model;Docking;Thunderbolt Yes/No;USB Gen;USB-C Upstream;USB-C Upstream Power Delivery;USB-B Upstream;USB Hub5;USB Downstream Ports;USB Ports Location;USB-A Downstream;USB-C Downstream;USB-C Downstream Power Delivery;USB Fast Charge Port6;RJ-45;Built-in KVM7;Headphone out/Audio In8;Power supply;EPEAT;TCO;TCO EDGE;EnergyStar;LOT Energy Label;Energy Label On mode power demand;On Mode Energy Consumption;Standby mode Energy Consumption;Off mode Energy Consumption;Blue Light technology Software (Certified);Blue Light technology Hardware (Certified);PCF Product Carbon Footprint Report (TTL 3year / kg of CO2e);ECMA Eco Declaration;HF;Paper Cushion;Doggy Door;VGA cable;DVI cable;HDMI cable;Displayport Cable;Mini-DP cable;Audio Cable;USB-A to B Cable;USB-C Cable;Remote Control;G-Menu / Precision Center;RGB Light FX;"PS5
Compatibility";"XBOX X
Compatibility";"XBOX S
Compatibility";Max Resolution HDMI;Max Resolution DP;Max Resolution USB-C;Features;2601;2602;2603;2604;2605;2606;2607;2608;2609;2610;2611;2612;2701;2702;2703;2704;2705;Summary Formula;Internal Product Category;Refresh Rate & Resolution
maj.26;24B2N3200A;24B2N3200A/00;Philips;B2B;24B2N3200A/00;;;B2, B3000;B-line;TBC;5 Years;TBC-24;TBC-24;wrz.26;2. Launch;;;0;0;0;0;0;0;No;No;23,8;60,4;16:09;IPS;WLED;1920x1080;120Hz;4;No;350;1500:01:00;50M:1;178/178;No;Adaptive Sync;No;No;72%/100%/-/-;Yes;Hardware (Anti Blue Mode);No;16.7M (6bits+FRC);4 side like;Black;Texture;Black;Texture;Yes;2Wx2;100x100;No;No;-0,166666667;150mm;Yes;-1;BS2B2249B;1;No;1x 1.4;No;1x 1.4;No;No;No;No;No;No;No;No;No;Audio-in, Headphone out;1;No;1x 1.4;1x 1.4;No;24B2U3301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Audio-in, Headphone out;TBC;Yes;10;TCO Edge;8;TBC (Available after MP);TBC;TBC (Available after approbation);TBC (Available after approbation);TBC (Available after approbation);No;Yes;Yes (2months after MP);Yes after MP;Yes;Yes;Yes;0;0;1.8m;1.8m;0;0;0;0;0;-;-;-;-;-;-;-;-;"24"", FHD, 120Hz, HAS, AntiBL (HW), 2x2W Speakers";;;;;;;;;1;1;1;1;1;1;1;1;1;23,8' 16:9 IPS 120Hz 1920x1080 HAS 150mm D-SUB x 1  HDMI x 1x 1.4 DP x 1x 1.4 ;B2B;1920x1080@120Hz
maj.26;27B2N3200A;27B2N3200A/00;Philips;B2B;27B2N3200A/00;;;B2, B3000;B-line;TBC;5 Years;TBC-16;TBC-16;wrz.26;2. Launch;;;0;0;0;0;0;0;No;No;27;68,6;16:09;IPS;WLED;1920x1080;120Hz;4;No;350;1500:01:00;50M:1;178/178;No;Adaptive Sync;No;No;-/99%/-/-;Yes;Hardware (Anti Blue Mode);No;16.7M (6bits+FRC);4 side like;Black;Texture;Black;Texture;Yes;2Wx2;100x100;No;No;-0,166666667;150mm;Yes;-1;BS2B2249B;1;No;1x 1.4;No;1x 1.4;No;No;No;No;No;No;No;No;No;Audio-in, Headphone out;1;No;1x 1.4;1x 1.4;No;27B2U3301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Audio-in, Headphone out;TBC;Yes;10;TCO Edge;8;TBC (Available after MP);TBC;TBC (Available after approbation);TBC (Available after approbation);TBC (Available after approbation);No;Yes;Yes (2months after MP);Yes after MP;Yes;Yes;Yes;0;0;1.8m;1.8m;0;0;0;0;0;-;-;-;-;-;-;-;-;"27"", FHD, 120Hz, HAS, AntiBL (HW), 2x2W Speakers";;;;;;;;;1;1;1;1;1;1;1;1;1;27' 16:9 IPS 120Hz 1920x1080 HAS 150mm D-SUB x 1  HDMI x 1x 1.4 DP x 1x 1.4 ;B2B;1920x1080@120Hz
maj.26;CQ27G4Z2;CQ27G4Z2;AOC;B2C;CQ27G4Z2;;;G4;AOC Gaming;4,03899E+12;3 Years;TBC-28;TBC-20;lip.26;2. Launch;; G+ / HR;0;Yes;Yes;Yes;0;0;No;Curved 1500R;27;68,6;16:09;Fast VA;WLED;2560x1440;260Hz (OC, Native 240Hz);1;0,5;400;4000:01:00;80M:1;178/178;HDR400;Adaptive Sync;FreeSync Premium (TBC);No;TBC;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Texture;Black/red;Texture;No;No;100x100;No;No;-0,25;130mm;No;-1;No;No;No;2x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;TBC;No;No;No;No;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;0;0;1.8m;1.8m;0;0;0;0;0;G-Menu;No;2560x1440@120Hz;2560x1440@120Hz;2560x1440@120Hz;2560x1440@144Hz;2560x1440@260Hz;-;AOC G4 Curved QHD 260Hz, HDR400, HAS;;;;;;;1;1;1;1;1;1;1;1;1;1;1;27' 16:9 Fast VA 260Hz (OC, Native 240Hz) 2560x1440 HAS 130mm   HDMI x 2x 2.0 DP x 1x 1.4 ;Gaming;2560x1440@260Hz (OC, Native 240Hz)
maj.26;CQ27G4ZE;CQ27G4ZE;AOC;B2C;CQ27G4ZE;;;G4;AOC Gaming;TBC;3 Years;TBC-28;TBC-20;paź.26;2. Launch;; G+ / HR;0;Yes;Yes;Yes;0;0;No;Curved 1500R;27;68,6;16:09;Fast VA;WLED;2560x1440;260Hz (OC, Native 240Hz);1;0,5;400;4000:01:00;80M:1;178/178;HDR400;Adaptive Sync;FreeSync Premium (TBC);No;TBC;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Texture;Black/red;Texture;No;No;100x100;No;No;-0,25;No;No;No;No;No;No;2x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;TBC;No;No;No;No;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;0;0;1.8m;1.8m;0;0;0;0;0;G-Menu;No;2560x1440@120Hz;2560x1440@120Hz;2560x1440@120Hz;2560x1440@144Hz;2560x1440@260Hz;-;AOC G4 Curved QHD 260Hz, HDR400, Simple;;;;;;;;;;1;1;1;1;1;1;1;1;27' 16:9 Fast VA 260Hz (OC, Native 240Hz) 2560x1440    HDMI x 2x 2.0 DP x 1x 1.4 ;Gaming;2560x1440@260Hz (OC, Native 240Hz)
maj.26;CQ32G42FE;CQ32G42FE;AOC;B2C;CQ32G42FE;;;G42;AOC Gaming;TBC;3 Years;TBC-24;TBC-16;lis.26;2. Launch;; G+ / HR;0;Yes;Yes;Yes;0;0;No;Curved 1500R;31,5;80;16:09;VA;WLED;2560x1440;144Hz;4;1;300;3000:01:00;80M:1;178/178;HDR10;Adaptive Sync;No;No;TBC;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Texture;Black/red;Texture;No;No;100x100;No;No;-0,25;No;No;No;No;No;No;2x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;TBC;No;No;No;No;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;0;0;1.8m;1.8m;0;0;0;0;0;G-Menu;No;2560x1440@120Hz;2560x1440@120Hz;2560x1440@120Hz;2560x1440@144Hz;2560x1440@144Hz;-;AOC G42 Curved QHD 144Hz, HDR10, Simple;;;;;;;;;;;1;1;1;1;1;1;1;31,5' 16:9 VA 144Hz 2560x1440    HDMI x 2x 2.0 DP x 1x 1.4 ;Gaming;2560x1440@144Hz
maj.26;CQ27G42FE;CQ27G42FE;AOC;B2C;CQ27G42FE;;;G42;AOC Gaming;TBC;3 Years;TBC-28;TBC-20;paź.26;2. Launch;; G+ / HR;0;Yes;Yes;Yes;0;0;No;Curved 1500R;27;68,6;16:09;VA;WLED;2560x1440;144Hz;4;1;300;3000:01:00;80M:1;178/178;HDR10;Adaptive Sync;No;No;TBC;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Texture;Black/red;Texture;No;No;100x100;No;No;-0,25;No;No;No;No;No;No;2x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;TBC;No;No;No;No;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;0;0;1.8m;1.8m;0;0;0;0;0;G-Menu;No;2560x1440@120Hz;2560x1440@120Hz;2560x1440@120Hz;2560x1440@144Hz;2560x1440@144Hz;-;AOC G42 Curved QHD 144Hz, HDR10, Simple;;;;;;;;;;1;1;1;1;1;1;1;1;27' 16:9 VA 144Hz 2560x1440    HDMI x 2x 2.0 DP x 1x 1.4 ;Gaming;2560x1440@144Hz
kwi.26;AGP346UCSD;AGP346UCSD;AOC;B2C;AGP346UCSD;;;AG6;AGON PRO;TBC;3 Years;TBC - 20;TBC - 12;sie.26;2. Launch;;34''↑ / G+ / HR / SMART / O;Yes;Yes;Yes;Yes;Yes;Yes;No;Curved 1500R;34;86,36;21:09;QD-OLED;-;3440x1440;360Hz;0,03;No;1000;1.500.000:1;TBC;178/178;HDR500 TrueBlack;Adaptive Sync;No;G-Sync Compatible (TBC);-/139,1%/97,8%/99,3%;Yes;Hardware (Anti Blue Mode);PIP/PBP (2 devices);1.07B(8bit+FRC);3-sided frameless;White;Textured;White;Textured;Yes;8Wx2;100x100;No;No;-0,25;130mm;No;-1;No;No;No;2x 2.1;No;1x 2.1;No;Yes;1xUSB-B/2xUSB 3.2 Gen1;1x USB-C (DP Alt);15W;Yes;No;2;Yes;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;Internal;No;No;No;No;TBC;#N/D;TBC;0.5W;0.3W;No (LowBlue Mode via OSD Menu);No (Anti Blue Light Technology);No;TBC;TBC;TBC;TBC;0;0;1.8m;1.8m;0;0;A to B - 1.8m;USB-C to C - Gen 2- 1.5m;0;G-Menu;Yes;2560x1440@120Hz;2560x1440@120Hz;2560x1440@120Hz;3440x1440@360Hz;3440x1440@360Hz;3440x1440@360Hz;AOC AGON PRO QD-OLED WQHD 360Hz / 5th Gen / HDR500TB / HDMI2.1 / DP2.1 / USBC / KVM;;;;;;;;1;1;1;1;1;1;1;1;1;1;34' 21:9 QD-OLED 360Hz 3440x1440 HAS 130mm   HDMI x 2x 2.1 DP x 1x 2.1 1x USB-C (DP Alt);Gaming;3440x1440@360Hz
kwi.26;24G50F;24G50F;AOC;B2C;24G50F;;;G50;AOC Gaming;4,03899E+12;3 Years;TBC - 60;TBC - 50;lip.26;2. Launch;;;0;0;Yes;0;0;0;No;No;23,8;60,4;16:09;IPS;WLED;1920x1080;180Hz (OC, Native 144Hz);4;0,5;300;1000:01:00;80M:1;178/178;HDR10;Adaptive Sync;No;G-Sync Comptible (TBC);TBC;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Textured;Black;Texture;No;No;100x100;No;No;-3.5/21.5;No;No;No;No;No;No;1x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;External;No;No;No;No;E;18W;18 W (typ.);0.3 W (typ.);0.3 W (typ.);No (LowBlue Mode via OSD Menu);No (Anti Blue Light Technology);No;TBC;TBC;TBC;TBC;0;0;1.8m;0;0;0;0;0;0;G-Menu;No;1920x1080@120Hz;1920x1080@120Hz;1920x1080@120Hz;1920x1080@180Hz;1920x1080@180Hz;-;"AOC Gaming G50 23.8"" 180Hz OC, IPS, HDR10, HW blue light";;;;;;;1;1;1;1;1;1;1;1;1;1;1;23,8' 16:9 IPS 180Hz (OC, Native 144Hz) 1920x1080    HDMI x 1x 2.0 DP x 1x 1.4 ;Gaming;1920x1080@180Hz (OC, Native 144Hz)
kwi.26;27G50F;27G50F;AOC;B2C;27G50F;;;G50;AOC Gaming;4,03899E+12;3 Years;TBC- 40;TBC- 40;lip.26;2. Launch;;;0;0;Yes;0;0;0;No;No;27;68,6;16:09;IPS;WLED;1920x1080;180Hz (OC, Native 144Hz);4;0,5;300;1000:01:00;80M:1;178/178;HDR10;Adaptive Sync;No;G-Sync Comptible (TBC);TBC;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Textured;Black;Texture;No;No;100x100;No;No;-0,25;No;No;No;No;No;No;1x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;External;No;No;No;No;TBC;TBC;TBC;0.5W;0.3W;No (LowBlue Mode via OSD Menu);No (Anti Blue Light Technology);No;TBC;TBC;TBC;TBC;0;0;1.8m;0;0;0;0;0;0;G-Menu;No;1920x1080@120Hz;1920x1080@120Hz;1920x1080@120Hz;1920x1080@180Hz;1920x1080@180Hz;-;"AOC Gaming G50 27"" 180Hz OC, IPS, HDR10, HW blue light";;;;;;;1;1;1;1;1;1;1;1;1;1;1;27' 16:9 IPS 180Hz (OC, Native 144Hz) 1920x1080    HDMI x 1x 2.0 DP x 1x 1.4 ;Gaming;1920x1080@180Hz (OC, Native 144Hz)
kwi.26;32E3C2500;32E3C2500/00;Philips;B2C;32E3C2500/00;32E3C2500/01;;E3;E-line;TBC;3 Years;TBC - 20;TBC - 12;lis.26;2. Launch;Launch/Sep;;0;0;Yes;0;0;0;No;Curved 1500R;31,5;80;16:09;VA;WLED;2560x1440;144Hz;4;0,5;300;4000:01:00;Mega Infinity DCR;178/178;HDR10;Adaptive Sync;No;No;85%/-/-/-;Yes;Hardware (Anti Blue Mode);No;16.7 millions;3-sided frameless;Black;Textured;Black;Texture;Yes;2Wx2;100x100;No;No;-0,2;No;No;No;No;No;No;1x 2.0;No;1x 1.4;No;No;No;No;No;No;No;No;No;Headphone out;;;;;;;;;;;;;;;;;;;;;;;;External;No;No;No;No;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;TBC;0;0;1.5m;0;0;0;0;0;0;-;-;-;-;-;-;-;-;"32"" curved, QHD, HDR10, 144Hz, Ad sync, 0.5ms";;;;;;;;;;;1;1;1;1;1;1;1;31,5' 16:9 VA 144Hz 2560x1440    HDMI x 1x 2.0 DP x 1x 1.4 ;B2C;2560x1440@144Hz
